Half-degree cell series of temperature
Centre Latitude:             69.75
Centre Longitude:          -139.25
CRU TS Version:               4.05
Units:                     degrees C

  Yr  Mo     Value   N.Obs
1901   1    -30.50     2
1901   2    -32.10     2
1901   3    -23.70     2
1901   4    -19.60     2
1901   5     -5.10     2
1901   6      6.20     2
1901   7     10.50     2
1901   8      7.00     2
1901   9      2.00     2
1901  10     -8.90     2
1901  11    -20.20     2
1901  12    -23.30     2
1902   1    -26.90     2
1902   2    -27.40     2
1902   3    -30.80     2
1902   4    -18.40     2
1902   5     -4.10     2
1902   6      6.60     2
1902   7     10.70     2
1902   8      7.50     2
1902   9      0.90     2
1902  10     -8.30     2
1902  11    -23.60     2
1902  12    -29.00     2
1903   1    -31.30     2
1903   2    -28.10     2
1903   3    -25.70     2
1903   4    -19.50     2
1903   5     -5.10     2
1903   6      7.00     2
1903   7     10.10     2
1903   8      8.10     2
1903   9      0.80     2
1903  10    -11.90     2
1903  11    -22.70     2
1903  12    -20.20     2
1904   1    -30.30     3
1904   2    -33.50     3
1904   3    -28.60     2
1904   4    -15.90     2
1904   5     -4.10     3
1904   6      6.60     3
1904   7     10.40     2
1904   8      6.10     3
1904   9     -1.30     2
1904  10    -10.00     3
1904  11    -21.10     2
1904  12    -20.10     2
1905   1    -27.70     3
1905   2    -25.60     3
1905   3    -23.10     3
1905   4    -14.90     3
1905   5     -2.80     3
1905   6      6.90     3
1905   7      9.30     3
1905   8      7.20     3
1905   9     -0.80     3
1905  10    -10.90     3
1905  11    -17.40     3
1905  12    -26.30     3
1906   1    -36.00     3
1906   2    -27.20     3
1906   3    -22.70     3
1906   4    -17.80     3
1906   5     -3.80     3
1906   6      7.30     2
1906   7     10.00     2
1906   8      7.00     2
1906   9      1.10     2
1906  10     -8.10     2
1906  11    -21.40     3
1906  12    -29.40     3
1907   1    -27.80     3
1907   2    -34.60     3
1907   3    -27.30     3
1907   4    -16.10     3
1907   5     -2.40     3
1907   6      6.30     2
1907   7      9.30     2
1907   8      7.60     2
1907   9      0.80     2
1907  10     -9.90     2
1907  11    -21.10     2
1907  12    -22.30     2
1908   1    -26.20     2
1908   2    -28.30     2
1908   3    -27.60     2
1908   4    -17.30     1
1908   5     -3.40     1
1908   6      6.60     1
1908   7     10.20     2
1908   8      6.80     1
1908   9     -0.80     1
1908  10    -12.60     2
1908  11    -20.50     2
1908  12    -23.00     2
1909   1    -35.30     2
1909   2    -32.90     2
1909   3    -25.00     2
1909   4    -19.90     2
1909   5     -4.20     2
1909   6      5.80     2
1909   7     10.10     2
1909   8      6.70     2
1909   9     -0.70     2
1909  10    -11.40     2
1909  11    -25.10     2
1909  12    -26.40     2
1910   1    -29.80     2
1910   2    -32.10     2
1910   3    -26.00     2
1910   4    -19.10     3
1910   5     -4.10     3
1910   6      5.90     2
1910   7      9.70     2
1910   8      6.30     2
1910   9      1.30     2
1910  10    -10.40     2
1910  11    -21.20     2
1910  12    -27.30     2
1911   1    -33.90     2
1911   2    -25.90     2
1911   3    -27.20     2
1911   4    -19.80     2
1911   5     -4.40     2
1911   6      5.90     2
1911   7     10.10     2
1911   8      7.00     2
1911   9      1.30     2
1911  10     -7.40     2
1911  11    -22.70     2
1911  12    -24.30     2
1912   1    -26.30     2
1912   2    -23.70     2
1912   3    -22.40     2
1912   4    -15.90     2
1912   5     -3.10     2
1912   6      4.40     2
1912   7      9.20     2
1912   8      6.70     2
1912   9      1.00     2
1912  10     -8.60     2
1912  11    -20.10     2
1912  12    -25.50     2
1913   1    -33.30     2
1913   2    -25.90     2
1913   3    -25.40     2
1913   4    -17.50     2
1913   5     -4.10     2
1913   6      6.70     2
1913   7      9.30     2
1913   8      6.10     2
1913   9     -0.20     2
1913  10    -11.20     2
1913  11    -20.50     2
1913  12    -24.70     2
1914   1    -29.30     2
1914   2    -25.60     2
1914   3    -25.50     3
1914   4    -18.10     3
1914   5     -3.90     3
1914   6      6.50     2
1914   7      9.30     3
1914   8      7.70     3
1914   9     -0.40     3
1914  10     -7.30     3
1914  11    -19.40     3
1914  12    -20.90     3
1915   1    -24.20     4
1915   2    -29.10     4
1915   3    -22.40     4
1915   4    -14.20     4
1915   5     -2.80     4
1915   6      7.20     4
1915   7     11.20     4
1915   8      7.60     3
1915   9      1.50     3
1915  10    -12.40     3
1915  11    -20.20     3
1915  12    -24.90     3
1916   1    -29.10     3
1916   2    -29.80     4
1916   3    -29.10     4
1916   4    -14.90     5
1916   5     -4.00     4
1916   6      6.40     4
1916   7      9.70     4
1916   8      7.40     4
1916   9      1.30     4
1916  10     -8.30     4
1916  11    -20.40     4
1916  12    -28.20     5
1917   1    -31.70     5
1917   2    -26.60     4
1917   3    -24.20     5
1917   4    -16.50     4
1917   5     -4.90     5
1917   6      5.20     4
1917   7      8.50     5
1917   8      8.00     5
1917   9      1.50     5
1917  10    -10.00     5
1917  11    -24.90     5
1917  12    -31.90     1
1918   1    -27.90     5
1918   2    -29.50     5
1918   3    -29.60     5
1918   4    -18.90     5
1918   5     -5.70     4
1918   6      4.80     4
1918   7     10.60     5
1918   8      6.60     5
1918   9      2.30     6
1918  10    -10.30     5
1918  11    -21.60     6
1918  12    -25.60     5
1919   1    -28.90     4
1919   2    -27.50     5
1919   3    -28.20     5
1919   4    -16.50     6
1919   5     -4.10     6
1919   6      4.10     6
1919   7     10.10     6
1919   8      7.80     5
1919   9      1.40     5
1919  10    -10.60     6
1919  11    -22.90     5
1919  12    -25.70     5
1920   1    -31.20     6
1920   2    -23.50     5
1920   3    -28.00     6
1920   4    -20.00     5
1920   5     -6.10     6
1920   6      5.90     5
1920   7      9.50     5
1920   8      6.80     5
1920   9      0.40     5
1920  10    -11.80     5
1920  11    -19.70     4
1920  12    -25.00     5
1921   1    -31.10     6
1921   2    -29.80     6
1921   3    -25.40     6
1921   4    -17.40     6
1921   5     -4.60     6
1921   6      6.30     6
1921   7     10.30     6
1921   8      8.10     6
1921   9     -0.10     6
1921  10     -9.70     6
1921  11    -20.70     6
1921  12    -23.10     6
1922   1    -25.30     6
1922   2    -28.90     6
1922   3    -27.60     6
1922   4    -16.90     6
1922   5     -6.00     6
1922   6      4.90     6
1922   7      8.30     4
1922   8      6.60     6
1922   9     -0.70     6
1922  10     -8.80     6
1922  11    -20.40     6
1922  12    -24.80     6
1923   1    -30.60     6
1923   2    -25.90     6
1923   3    -27.20     6
1923   4    -17.00     6
1923   5     -3.80     6
1923   6      6.40     6
1923   7     10.60     6
1923   8      9.30     6
1923   9      1.00     6
1923  10     -6.40     6
1923  11    -18.10     6
1923  12    -28.70     6
1924   1    -27.70     6
1924   2    -30.10     6
1924   3    -21.90     6
1924   4    -22.30     5
1924   5     -4.50     6
1924   6      5.40     6
1924   7      8.70     6
1924   8      6.70     6
1924   9     -0.20     6
1924  10    -12.30     7
1924  11    -19.30     7
1924  12    -27.10     7
1925   1    -34.70     7
1925   2    -33.40     7
1925   3    -26.60     7
1925   4    -17.30     7
1925   5     -3.60     7
1925   6      6.30     7
1925   7      9.60     7
1925   8      7.80     7
1925   9      1.80     7
1925  10     -7.10     7
1925  11    -19.00     7
1925  12    -24.40     7
1926   1    -21.40     6
1926   2    -28.30     7
1926   3    -21.90     7
1926   4    -15.20     7
1926   5     -3.80     7
1926   6      6.70     7
1926   7      9.60     8
1926   8      7.50     8
1926   9      2.20     8
1926  10     -7.30     8
1926  11    -16.60     8
1926  12    -27.00     8
1927   1    -28.10     8
1927   2    -27.60     8
1927   3    -26.90     7
1927   4    -20.60     8
1927   5     -3.70     8
1927   6      6.70     8
1927   7     10.90     8
1927   8      7.40     8
1927   9     -0.70     8
1927  10    -12.10     8
1927  11    -25.40     8
1927  12    -29.00     8
1928   1    -23.70     8
1928   2    -23.00     8
1928   3    -30.10     8
1928   4    -18.10     8
1928   5     -4.60     8
1928   6      6.40     8
1928   7      9.60     8
1928   8      6.70     8
1928   9      0.00     8
1928  10    -10.40     8
1928  11    -15.90     8
1928  12    -22.30     7
1929   1    -25.20     8
1929   2    -25.00     8
1929   3    -28.40     8
1929   4    -16.70     8
1929   5     -4.00     8
1929   6      5.90     8
1929   7      8.00     8
1929   8      6.90     8
1929   9      3.30     8
1929  10     -6.90     8
1929  11    -17.90     8
1929  12    -25.50     8
1930   1    -24.70     8
1930   2    -33.70     8
1930   3    -27.10     8
1930   4    -18.60     8
1930   5     -2.90     8
1930   6      6.50     8
1930   7     10.80     8
1930   8      7.70     8
1930   9      1.20     8
1930  10    -10.00     8
1930  11    -23.00     8
1930  12    -22.10     8
1931   1    -25.70     8
1931   2    -25.60     8
1931   3    -26.80     8
1931   4    -17.30     8
1931   5     -5.70     8
1931   6      5.60     8
1931   7      8.60     8
1931   8      5.90     8
1931   9      0.10     8
1931  10    -10.90     8
1931  11    -19.20     8
1931  12    -25.90     8
1932   1    -31.80     8
1932   2    -34.80     8
1932   3    -23.80     8
1932   4    -15.00     8
1932   5     -3.30     8
1932   6      5.40     8
1932   7      9.60     8
1932   8      6.30     8
1932   9      0.40     8
1932  10     -9.10     8
1932  11    -26.10     8
1932  12    -25.90     8
1933   1    -34.00     8
1933   2    -30.80     8
1933   3    -26.30     8
1933   4    -16.40     8
1933   5     -4.60     8
1933   6      3.50     8
1933   7      8.50     8
1933   8      7.20     8
1933   9     -0.50     8
1933  10    -12.10     8
1933  11    -21.60     8
1933  12    -33.20     8
1934   1    -34.70     8
1934   2    -23.80     8
1934   3    -26.60     8
1934   4    -16.80     8
1934   5     -4.80     8
1934   6      5.10     8
1934   7      8.50     8
1934   8      6.50     8
1934   9      0.20     8
1934  10     -7.40     8
1934  11    -20.60     8
1934  12    -22.20     8
1935   1    -29.40     8
1935   2    -23.50     8
1935   3    -27.40     8
1935   4    -18.10     8
1935   5     -6.90     8
1935   6      4.50     8
1935   7      9.60     8
1935   8      5.00     8
1935   9     -0.20     8
1935  10    -10.40     8
1935  11    -24.30     8
1935  12    -28.10     8
1936   1    -29.50     8
1936   2    -35.70     8
1936   3    -26.10     8
1936   4    -17.50     8
1936   5     -4.80     8
1936   6      7.10     8
1936   7      9.20     8
1936   8      8.80     8
1936   9     -0.70     8
1936  10    -10.50     8
1936  11    -19.80     8
1936  12    -29.60     8
1937   1    -21.40     8
1937   2    -30.00     8
1937   3    -25.20     8
1937   4    -18.30     8
1937   5     -5.60     8
1937   6      6.90     8
1937   7      9.00     8
1937   8      5.70     8
1937   9      2.40     8
1937  10     -6.80     8
1937  11    -16.60     8
1937  12    -25.70     8
1938   1    -30.10     8
1938   2    -30.80     8
1938   3    -24.90     8
1938   4    -16.60     8
1938   5     -3.80     8
1938   6      5.30     8
1938   7     10.60     8
1938   8      7.80     8
1938   9      3.50     8
1938  10     -4.50     8
1938  11    -17.30     8
1938  12    -24.10     8
1939   1    -28.40     8
1939   2    -30.40     8
1939   3    -27.30     8
1939   4    -15.10     8
1939   5     -4.20     8
1939   6      5.90     8
1939   7      9.60     8
1939   8      6.70     8
1939   9      0.40     8
1939  10    -10.80     8
1939  11    -21.60     8
1939  12    -20.40     8
1940   1    -22.90     8
1940   2    -26.10     8
1940   3    -23.70     8
1940   4    -11.70     8
1940   5     -3.50     8
1940   6      5.10     8
1940   7     10.70     8
1940   8      7.70     8
1940   9      2.90     8
1940  10     -6.90     8
1940  11    -19.10     8
1940  12    -23.10     8
1941   1    -28.60     8
1941   2    -24.10     8
1941   3    -25.40     8
1941   4    -15.30     8
1941   5     -3.30     8
1941   6      6.50     8
1941   7      8.90     8
1941   8      8.00     8
1941   9      0.60     8
1941  10    -11.80     8
1941  11    -22.30     8
1941  12    -26.40     8
1942   1    -22.80     8
1942   2    -23.30     8
1942   3    -26.10     8
1942   4    -15.90     8
1942   5     -1.90     8
1942   6      6.90     8
1942   7     10.60     8
1942   8      7.90     8
1942   9      2.20     8
1942  10     -7.10     8
1942  11    -23.30     8
1942  12    -31.30     8
1943   1    -33.10     8
1943   2    -24.80     8
1943   3    -26.00     8
1943   4    -15.60     8
1943   5     -2.10     8
1943   6      7.30     8
1943   7      9.90     8
1943   8      6.80     8
1943   9      1.30     8
1943  10     -7.10     8
1943  11    -14.70     8
1943  12    -21.20     8
1944   1    -25.10     8
1944   2    -23.40     8
1944   3    -25.00     8
1944   4    -16.30     8
1944   5     -3.60     8
1944   6      6.50     8
1944   7      9.80     8
1944   8      6.20     8
1944   9      0.10     8
1944  10     -7.20     8
1944  11    -20.00     8
1944  12    -22.70     8
1945   1    -24.20     8
1945   2    -25.80     8
1945   3    -25.70     8
1945   4    -19.10     8
1945   5     -6.00     8
1945   6      4.50     8
1945   7      9.00     8
1945   8      6.20     8
1945   9      0.00     8
1945  10     -8.80     8
1945  11    -25.80     8
1945  12    -24.80     8
1946   1    -27.00     8
1946   2    -28.20     8
1946   3    -27.00     8
1946   4    -18.80     8
1946   5     -3.20     8
1946   6      7.20     8
1946   7     10.00     8
1946   8      7.00     8
1946   9     -0.30     8
1946  10     -8.00     8
1946  11    -22.30     8
1946  12    -33.10     8
1947   1    -32.90     8
1947   2    -29.50     8
1947   3    -21.60     8
1947   4    -17.30     8
1947   5     -4.00     8
1947   6      3.90     8
1947   7      9.90     8
1947   8      4.80     8
1947   9      0.10     8
1947  10     -8.80     8
1947  11    -15.90     8
1947  12    -20.20     8
1948   1    -25.80     8
1948   2    -27.50     8
1948   3    -26.40     8
1948   4    -17.90     8
1948   5     -5.10     8
1948   6      5.40     8
1948   7      9.70     8
1948   8      5.70     8
1948   9     -1.20     8
1948  10    -10.40     8
1948  11    -23.60     8
1948  12    -32.00     8
1949   1    -27.20     8
1949   2    -32.00     8
1949   3    -19.90     8
1949   4    -19.90     8
1949   5     -6.50     8
1949   6      3.50     8
1949   7      8.90     8
1949   8      8.30     8
1949   9      3.10     8
1949  10     -7.50     8
1949  11    -14.70     8
1949  12    -27.00     8
1950   1    -25.60     8
1950   2    -35.40     8
1950   3    -21.90     8
1950   4    -16.50     8
1950   5     -3.50     8
1950   6      6.80     8
1950   7     10.10     8
1950   8      7.60     8
1950   9      2.20     8
1950  10     -9.20     8
1950  11    -21.80     8
1950  12    -23.80     8
1951   1    -34.20     8
1951   2    -30.90     8
1951   3    -29.40     8
1951   4    -15.50     8
1951   5     -3.70     8
1951   6      4.80     8
1951   7     10.30     8
1951   8      9.40     8
1951   9      2.20     8
1951  10    -10.60     8
1951  11    -15.90     8
1951  12    -26.30     8
1952   1    -31.90     8
1952   2    -29.20     8
1952   3    -25.80     8
1952   4    -18.10     8
1952   5     -6.60     8
1952   6      5.00     8
1952   7     10.00     8
1952   8      6.70     8
1952   9     -0.70     8
1952  10     -7.50     8
1952  11    -13.60     8
1952  12    -22.80     8
1953   1    -32.80     8
1953   2    -26.80     8
1953   3    -26.60     8
1953   4    -13.60     8
1953   5     -3.60     8
1953   6      6.90     8
1953   7      9.80     8
1953   8      6.90     8
1953   9      1.20     8
1953  10    -10.10     8
1953  11    -20.50     8
1953  12    -25.60     8
1954   1    -29.60     8
1954   2    -31.60     8
1954   3    -22.00     8
1954   4    -18.90     8
1954   5     -5.20     8
1954   6      4.70     8
1954   7      9.60     8
1954   8     10.00     8
1954   9      1.20     8
1954  10     -7.40     8
1954  11    -17.70     8
1954  12    -30.30     8
1955   1    -25.80     8
1955   2    -33.10     8
1955   3    -26.90     8
1955   4    -17.80     8
1955   5     -4.70     8
1955   6      5.40     8
1955   7     10.40     8
1955   8      5.00     8
1955   9      0.60     8
1955  10    -10.20     8
1955  11    -27.50     8
1955  12    -28.70     8
1956   1    -31.50     8
1956   2    -32.80     8
1956   3    -24.30     8
1956   4    -15.80     8
1956   5     -3.90     8
1956   6      4.90     8
1956   7     10.10     8
1956   8      5.70     8
1956   9      0.50     8
1956  10    -12.80     8
1956  11    -24.20     8
1956  12    -30.10     8
1957   1    -22.50     8
1957   2    -29.80     8
1957   3    -23.70     8
1957   4    -14.20     8
1957   5     -4.70     8
1957   6      5.40     8
1957   7      9.40     8
1957   8     10.50     8
1957   9      0.90     8
1957  10     -8.10     8
1957  11    -21.20     8
1957  12    -31.00     8
1958   1    -26.80     8
1958   2    -31.40     8
1958   3    -24.00     8
1958   4    -16.30     8
1958   5     -3.80     8
1958   6      8.20     8
1958   7     11.80     8
1958   8     10.00     8
1958   9      2.70     8
1958  10    -10.80     8
1958  11    -20.60     8
1958  12    -25.90     8
1959   1    -31.90     8
1959   2    -22.60     8
1959   3    -30.40     8
1959   4    -18.30     8
1959   5     -5.80     8
1959   6      4.90     8
1959   7      8.20     8
1959   8      5.10     8
1959   9     -0.10     8
1959  10    -11.20     8
1959  11    -23.90     8
1959  12    -27.90     8
1960   1    -32.30     8
1960   2    -24.90     8
1960   3    -25.80     8
1960   4    -18.70     8
1960   5     -2.70     8
1960   6      6.30     8
1960   7      8.70     8
1960   8      6.70     8
1960   9      0.10     8
1960  10     -9.50     8
1960  11    -24.50     8
1960  12    -21.20     8
1961   1    -27.40     8
1961   2    -31.20     8
1961   3    -29.50     8
1961   4    -21.90     8
