"","species_list_toolik"
"1","Aconitum delphinifolium"
"2","Andromeda polifolia"
"3","Androsace chamaejasme"
"4","Anemone richardsonii"
"5","Antennaria friesiana"
"6","Arctagrostis latifolia"
"7","Arctous alpina"
"8","Arctous rubra"
"9","Arnica lessingii"
"10","Artemisia arctica"
"11","Astragalus alpinus"
"12","Betula glandulosa"
"13","Betula nana"
"14","Calamagrostis stricta"
"15","Cardamine microphylla"
"16","Carex aquatilis"
"17","Carex bigelowii"
"18","Carex fuliginosa"
"19","Carex microchaeta"
"20","Carex rariflora"
"21","Carex rotundata"
"22","Carex vaginata"
"23","Cassiope tetragona"
"24","Comarum palustre"
"25","Coptidium lapponicum"
"26","Diapensia lapponica"
"27","Dryas integrifolia"
"28","Dryas octopetala"
"29","Empetrum nigrum"
"30","Epilobium latifolium L."
"31","Equisetum arvense"
"32","Equisetum scirpoides"
"33","Equisetum variegatum"
"34","Eriophorum angustifolium"
"35","Eriophorum vaginatum"
"36","Geum glaciale"
"37","Hierochloe alpina"
"38","Hippuris vulgaris"
"39","Lagotis minor"
"40","Ledum palustre L."
"41","Loiseleuria procumbens"
"42","Luzula confusa"
"43","Luzula nivalis"
"44","Orthilia secunda"
"45","Oxytropis maydelliana"
"46","Oxytropis nigrescens"
"47","Pedicularis capitata"
"48","Pedicularis labradorica"
"49","Pedicularis lanata"
"50","Pedicularis lapponica"
"51","Pedicularis sudetica"
"52","Persicaria bistorta"
"53","Persicaria vivipara"
"54","Petasites frigidus"
"55","Pinguicula vulgaris"
"56","Poa arctica"
"57","Polemonium acutiflorum"
"58","Pyrola grandiflora"
"59","Rhododendron lapponicum"
"60","Rubus chamaemorus"
"61","Salix arctica"
"62","Salix chamissonis"
"63","Salix fuscescens"
"64","Salix glauca"
"65","Salix lanata"
"66","Salix phlebophylla"
"67","Salix pulchra"
"68","Salix reticulata"
"69","Saussurea angustifolia"
"70","Saxifraga foliolosa"
"71","Saxifraga nelsoniana"
"72","Silene acaulis"
"73","Stellaria longipes"
"74","Tephroseris frigida"
"75","Vaccinium microcarpum"
"76","Vaccinium uliginosum"
"77","Vaccinium vitis-idaea"
"78","Valeriana capitata"
