"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","year",0.0169268009441793,-0.148386371132801,0.17196660405898,3000,0.862666666666667,"fixed"
"2","SpeciesAlectoria ochroleuca",-33.8496855307043,-346.52029718124,298.873863442888,3000,0.864666666666667,"fixed"
"3","SpeciesArctagrostis latifolia",-1529.41780005058,-1817.78371231481,-1210.48144904232,3000,0.000333333333333333,"fixed"
"4","SpeciesAstralagus umbelletus",-4.24676770865,-312.746967607469,299.270365520657,3226.31599919556,0.983333333333333,"fixed"
"5","SpeciesCardamine bellidifolia",1.65603218206744,-298.166980698472,314.150633780911,2999.99999999999,0.992,"fixed"
"6","SpeciesCardamine digitalis",-131.8928219227,-435.490450504039,187.835775961576,3000,0.398666666666667,"fixed"
"7","SpeciesCassiope tetragona",40.097412023821,-278.320796809188,347.46037526225,3243.57625210694,0.791333333333333,"fixed"
"8","SpeciesCetraria cucculata",450.756600189603,141.190845296718,753.604489882477,3000,0.0046666666666666,"fixed"
"9","SpeciesCetraria islandica",290.769786812566,-12.0654773581045,595.035247622349,3000,0.0646666666666667,"fixed"
"10","SpeciesCetraria nivalis",4.42872508973034,-310.610006373769,318.92456550095,3000,0.971333333333333,"fixed"
"11","SpeciesCladina mitis",2.22204500532171,-329.723897924036,318.221749062724,3000,0.980666666666667,"fixed"
"12","SpeciesDactylina arctica",61.6884129350473,-248.787027419246,364.191031059774,2999.99999999999,0.700666666666667,"fixed"
"13","SpeciesDryas integrifolia",88.1398850291686,-229.258293354447,374.844184972586,3000.00000000001,0.568666666666667,"fixed"
"14","SpeciesEriophorum angustifolium",-197.854151299219,-495.359966536984,124.435724102943,2657.10043760481,0.214,"fixed"
"15","SpeciesEriophorum vaginatum",-2707.84935418533,-3025.56648276562,-2387.13972681225,3000,0.000333333333333333,"fixed"
"16","SpeciesFestuca baffinensis",-36.4215595333719,-335.89460575048,264.998180648647,3000,0.824,"fixed"
"17","SpeciesHierochloe alpine",-30.8308388677798,-334.557551003512,278.352487085533,3000.00000000001,0.838666666666667,"fixed"
"18","SpeciesKobresia myotosoides",-31.7631185462431,-354.27902761125,263.809085741261,2849.01877378054,0.830666666666667,"fixed"
"19","SpeciesKobresia sibirica",-7.4523557229505,-326.584065255534,297.481892486583,3000,0.973333333333333,"fixed"
"20","SpeciesLagostis glauca",-24.9371104448971,-338.408431669886,270.272074179593,3000,0.87,"fixed"
"21","SpeciesLupinus arcticus",54.4271786276485,-257.685934102832,377.130711854654,3170.65752135907,0.742666666666667,"fixed"
"22","SpeciesLuzula arctica",-208.318380836747,-535.974220887409,87.256741005287,3000,0.198666666666667,"fixed"
"23","SpeciesPapaver radicatum",2.28467146303334,-285.952828522597,312.541012766684,3000,0.993333333333333,"fixed"
"24","SpeciesPedicularis capitata",-122.645185570663,-441.139571166073,183.84805526066,3000,0.450666666666667,"fixed"
"25","SpeciesPedicularis lanata",71.1932918965448,-249.364122799219,367.962925238768,3000,0.655333333333333,"fixed"
"26","SpeciesPedicularis longsdorfi",-4.94354524898664,-306.193440194955,307.197468159622,3000,0.987333333333333,"fixed"
"27","SpeciesPedicularis sudetica",17.8290281530762,-276.976641358473,325.155040054,3000,0.906666666666667,"fixed"
"28","SpeciesPedicularis vertisilata",-27.2287482565364,-351.975842190994,262.676188794756,3000,0.868666666666667,"fixed"
"29","SpeciesPoa alpina",1.25610209232243,-315.718418452263,293.415156092909,3000,0.988,"fixed"
"30","SpeciesPoa arctica",-773.335742429023,-1073.64416769432,-467.487607403698,3000,0.000333333333333333,"fixed"
"31","SpeciesPolygonum bistorta",-226.063210040931,-541.999207249457,73.8201970194932,3000,0.150666666666667,"fixed"
"32","SpeciesPolygonum viviparum",13.3573258861416,-287.774730950827,324.228010831517,3000,0.938666666666667,"fixed"
"33","SpeciesPyrola grandiflora",104.52827267981,-206.52793316932,402.078235201974,2999.99999999999,0.535333333333333,"fixed"
"34","SpeciesSalix arctica",38.4488951030335,-267.027628274802,328.297317258941,3000,0.807333333333333,"fixed"
"35","SpeciesSalix phlebophylla",3.89351806882781,-299.233151206019,305.618055262508,3000.00000000001,0.976,"fixed"
"36","SpeciesSalix pulchra",-1692.96057537152,-2011.33773863588,-1390.5055876982,3000.00000000001,0.000333333333333333,"fixed"
"37","SpeciesSalix reticulata",-487.554331321722,-780.993522167235,-170.307705962739,3000,0.002,"fixed"
"38","SpeciesSaussurea angustifolia",-7.00228724583364,-308.678132661691,319.62877013805,3000.00000000001,0.956,"fixed"
"39","SpeciesSaxifraga nelsoniana",-22.3346689487519,-322.143825569947,281.834836009395,3000,0.892,"fixed"
"40","SpeciesSenecio astropurpureus",34.3892625878693,-264.574650205817,368.541197044484,3000,0.828666666666667,"fixed"
"41","SpeciesStellaria longipes",-299.968240716742,-611.271292652491,-6.84486632724293,3000,0.056,"fixed"
"42","SpeciesThamnolia subuliformis",351.003974935836,30.7383844481228,648.517253852406,3000.00000000001,0.0273333333333334,"fixed"
"43","SpeciesValeriana capitata",-5.21008507403047,-322.301219134039,287.722046821422,3000,0.966666666666667,"fixed"
"44","year:SpeciesArctagrostis latifolia",0.74824109919042,0.556473007309251,0.963541129924124,3000,0.000333333333333333,"fixed"
"45","year:SpeciesAstralagus umbelletus",-0.0147786387525093,-0.230417422804749,0.185462119698059,3000,0.903333333333333,"fixed"
"46","year:SpeciesCardamine bellidifolia",-0.0177069803923905,-0.217594335674221,0.194976126236725,3000,0.856666666666667,"fixed"
"47","year:SpeciesCardamine digitalis",0.0489528229503185,-0.161459527695115,0.253931692335755,3000.00000000001,0.660666666666667,"fixed"
"48","year:SpeciesCassiope tetragona",-0.0367654290272488,-0.24821166392212,0.158306689561869,3000,0.735333333333333,"fixed"
"49","year:SpeciesCetraria cucculata",-0.239891063877691,-0.454703784314916,-0.0416756183658435,2999.99999999999,0.0206666666666667,"fixed"
"50","year:SpeciesCetraria islandica",-0.161049429754781,-0.380064541506727,0.0368217740033288,3000,0.126666666666667,"fixed"
"51","year:SpeciesCetraria nivalis",-0.0190940965633388,-0.226196404873917,0.192603213239636,2800.43994283455,0.863333333333333,"fixed"
"52","year:SpeciesCladina mitis",-0.0179221248183632,-0.242163306378643,0.181734437617706,2999.99999999999,0.866666666666667,"fixed"
"53","year:SpeciesDactylina arctica",-0.0475246251681399,-0.246964640522492,0.156990125276934,3000,0.648,"fixed"
"54","year:SpeciesDryas integrifolia",-0.0591232625717044,-0.253812731210928,0.153406870973413,3000.00000000001,0.578,"fixed"
"55","year:SpeciesEriophorum angustifolium",0.0825851297316221,-0.114065141955507,0.299825084017357,3000,0.433333333333333,"fixed"
"56","year:SpeciesEriophorum vaginatum",1.36507686442317,1.15322816369007,1.56954224471701,2999.99999999999,0.000333333333333333,"fixed"
"57","year:SpeciesFestuca baffinensis",0.00156122301573192,-0.200565192302747,0.209842072348692,3000,0.988,"fixed"
"58","year:SpeciesHierochloe alpine",-0.00139378401841618,-0.19645602023229,0.208689962943026,3000.00000000001,0.998,"fixed"
"59","year:SpeciesKobresia myotosoides",-0.00105092473955905,-0.202783006210666,0.196975618768192,3000,0.996,"fixed"
"60","year:SpeciesKobresia sibirica",-0.0131892962212434,-0.224447804081137,0.185418723602197,3000,0.916666666666667,"fixed"
"61","year:SpeciesLagostis glauca",-0.00447358244699983,-0.215614629320044,0.193403578858124,2999.99999999999,0.965333333333333,"fixed"
"62","year:SpeciesLupinus arcticus",-0.0439193382309718,-0.249566494683677,0.169788815154789,2613.11549183944,0.69,"fixed"
"63","year:SpeciesLuzula arctica",0.0871255990402852,-0.11514862725744,0.294143995838567,3000,0.406666666666667,"fixed"
"64","year:SpeciesPapaver radicatum",-0.0180469401932687,-0.233220181413344,0.167354055331089,3000,0.86,"fixed"
"65","year:SpeciesPedicularis capitata",0.0444298229894004,-0.153219571711816,0.265958709467668,3000.00000000001,0.670666666666667,"fixed"
"66","year:SpeciesPedicularis lanata",-0.0522231511750192,-0.241570266018243,0.153171849611681,2999.99999999999,0.616666666666667,"fixed"
"67","year:SpeciesPedicularis longsdorfi",-0.014448410761183,-0.218667491295491,0.189417153058457,2846.72902687415,0.898666666666667,"fixed"
"68","year:SpeciesPedicularis sudetica",-0.0256072937438932,-0.232324726875959,0.177496203799819,2815.58782015551,0.818666666666667,"fixed"
"69","year:SpeciesPedicularis vertisilata",-0.00330201859275364,-0.212361713527571,0.198863667060778,3000,0.988,"fixed"
"70","year:SpeciesPoa alpina",-0.017541353866084,-0.226363064226462,0.181134043290513,3000,0.872,"fixed"
"71","year:SpeciesPoa arctica",0.369876790558756,0.163837809559482,0.567199068391346,3000,0.000333333333333333,"fixed"
"72","year:SpeciesPolygonum bistorta",0.0969935630188106,-0.113711568548752,0.296026929718209,3000,0.372,"fixed"
"73","year:SpeciesPolygonum viviparum",-0.0233023845517493,-0.233223389193881,0.178228702294291,2818.36026190007,0.819333333333333,"fixed"
"74","year:SpeciesPyrola grandiflora",-0.0675127569442271,-0.280966820133472,0.129791049635969,3000,0.51,"fixed"
"75","year:SpeciesSalix arctica",-0.0359734507512065,-0.257704363917583,0.159325787783018,2999.99999999999,0.71,"fixed"
"76","year:SpeciesSalix phlebophylla",-0.017109480898337,-0.224420018334058,0.188421233309782,3281.37729404692,0.862666666666667,"fixed"
"77","year:SpeciesSalix pulchra",0.839022196849035,0.6430727817351,1.05349112555268,3000.00000000001,0.000333333333333333,"fixed"
"78","year:SpeciesSalix reticulata",0.229204459060412,0.0224808424973162,0.438161275604216,2999.99999999999,0.0326666666666666,"fixed"
"79","year:SpeciesSaussurea angustifolia",-0.0127698711202697,-0.211254977046337,0.200622053986081,2999.99999999999,0.904666666666667,"fixed"
