"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","year",0.0247007653466138,-0.256226199533558,0.292939429835315,3000,0.860666666666667,"fixed"
"2","SpeciesAlectoria ochroleuca",-49.4074306982192,-587.82539215713,517.223388378101,3000,0.861333333333333,"fixed"
"3","SpeciesAlopecurus alpinus",-4065.22085498274,-4590.42548162042,-3488.10131159174,3107.31341635969,0.000333333333333333,"fixed"
"4","SpeciesArctagrostis latifolia",-1872.72414225173,-2420.31423846948,-1310.95024396485,3000,0.000333333333333333,"fixed"
"5","SpeciesAstralagus umbelletus",53.4136430579217,-505.22060225626,611.941436289228,3420.5833142994,0.846,"fixed"
"6","SpeciesCardamine bellidifolia",3.32033937270509,-560.808221817628,551.531198768032,2999.99999999999,0.988,"fixed"
"7","SpeciesCardamine digitalis",-135.51915847769,-715.850357310977,426.962816357896,3217.03365921638,0.634666666666667,"fixed"
"8","SpeciesCetraria cucculata",233.614116111204,-320.659650546761,827.401130407117,3000,0.412666666666667,"fixed"
"9","SpeciesCetraria islandica",85.7283969213615,-477.649916508279,634.254012156474,3000.00000000001,0.766,"fixed"
"10","SpeciesCetraria nivalis",2.03517051944032,-524.61695238878,576.108429807544,3000,0.98,"fixed"
"11","SpeciesCladina mitis",-31.0662342453098,-596.397940913215,527.840124401206,3000,0.910666666666667,"fixed"
"12","SpeciesDactylina arctica",-42.5800859534402,-574.890120427277,514.044903521353,2999.99999999999,0.886,"fixed"
"13","SpeciesDryas integrifolia",-176.35928173571,-692.103251417517,366.495707260634,2765.08554007814,0.524666666666667,"fixed"
"14","SpeciesEriophorum vaginatum",-1.76332206856706,-562.952535721117,529.190377810941,2729.02011404182,0.988666666666667,"fixed"
"15","SpeciesFestuca baffinensis",2.78507970747963,-569.595685940643,529.040404512954,2788.86532153055,1,"fixed"
"16","SpeciesHierochloe alpine",-7.56019529171741,-562.355423711146,565.704099193346,3000,0.943333333333333,"fixed"
"17","SpeciesLagostis glauca",-74.7864748100437,-680.037139864522,460.501875290567,3000.00000000001,0.798666666666667,"fixed"
"18","SpeciesLupinus arcticus",-455.396374677967,-1023.369860116,117.253359468916,3346.33676176281,0.118,"fixed"
"19","SpeciesLuzula arctica",-100.121293653633,-680.102526093979,459.183524195541,3202.53098065945,0.731333333333333,"fixed"
"20","SpeciesOxytropis campestris",-43.1889521316183,-587.002865094168,529.433225023589,3000,0.869333333333333,"fixed"
"21","SpeciesOxytropis maydalliana",-11.915156379104,-550.686447841959,537.629420058831,3253.5093025251,0.959333333333333,"fixed"
"22","SpeciesOxytropis nigrescens",32.3522229537912,-516.065644156937,556.003336877591,3000,0.920666666666667,"fixed"
"23","SpeciesPapaver radicatum",11.1285228348366,-544.454606868188,551.989534450986,2765.94986840517,0.969333333333333,"fixed"
"24","SpeciesParrya nudicalis",-0.514951300547605,-600.707887142795,533.871072976384,3000,0.987333333333333,"fixed"
"25","SpeciesPedicularis capitata",-6.15649390071999,-539.794954985629,557.111538837024,3000,0.99,"fixed"
"26","SpeciesPedicularis lanata",138.801977580803,-404.499166717025,698.358927616591,3000,0.621333333333333,"fixed"
"27","SpeciesPedicularis sudetica",10.7041235354844,-561.243552018277,565.329809716583,3000,0.956,"fixed"
"28","SpeciesPedicularis vertisilata",-59.1995577347775,-618.721855701719,502.786033058888,2757.53382222574,0.834666666666667,"fixed"
"29","SpeciesPoa arctica",145.096261978683,-388.827522841602,744.457217142972,3000,0.630666666666667,"fixed"
"30","SpeciesPolygonum bistorta",-64.3634576242295,-662.626268868848,469.414424265415,3000,0.832,"fixed"
"31","SpeciesPolygonum viviparum",-14.6832641126876,-556.110770491767,553.364120750775,3000,0.948,"fixed"
"32","SpeciesPyrola grandiflora",-24.4046013945917,-598.322572346347,506.299664317688,2999.99999999999,0.933333333333333,"fixed"
