"","c(unique(QHI_only_HE$Species))"
"1","Eriophorum vaginatum"
"2","Salix phlebophylla"
"3","Salix reticulata"
"4","Thamnolia subuliformis"
"5","Salix pulchra"
"6","Cetraria cucculata"
"7","Senecio astropurpureus"
"8","Cetraria islandica"
"9","Saussurea angustifolia"
"10","Cladina mitis"
"11","Polygonum bistorta"
"12","Festuca baffinensis"
"13","Pedicularis lanata"
"14","Dryas integrifolia"
"15","Dactylina arctica"
"16","Poa arctica"
"17","Hierochloe alpine"
"18","Pedicularis capitata"
"19","Arctagrostis latifolia"
"20","Pyrola grandiflora"
"21","Salix arctica"
"22","Lupinus arcticus"
"23","Polygonum viviparum"
"24","Pedicularis sudetica"
"25","Stellaria longipes"
"26","Pedicularis vertisilata"
"27","Cassiope tetragona"
"28","Eriophorum angustifolium"
"29","Alectoria ochroleuca"
"30","Astralagus umbelletus"
"31","Cardamine digitalis"
"32","Lagostis glauca"
"33","Saxifraga nelsoniana"
"34","Kobresia myotosoides"
"35","Luzula arctica"
"36","Kobresia sibirica"
"37","Papaver radicatum"
"38","Poa alpina"
"39","Cetraria nivalis"
"40","Cardamine bellidifolia"
"41","Valeriana capitata"
"42","Pedicularis longsdorfi"
