"","c(unique(QHI_new_cover$Species))"
"1","Eriophorum vaginatum"
"2","Salix phlebophylla"
"3","Salix reticulata"
"4","Thamnolia subuliformis"
"5","Salix pulchra"
"6","Cetraria cucculata"
"7","Senecio astropurpureus"
"8","Cetraria islandica"
"9","Saussurea angustifolia"
"10","Cladina mitis"
"11","Polygonum bistorta"
"12","Festuca baffinensis"
"13","Pedicularis lanata"
"14","Dryas integrifolia"
"15","Dactylina arctica"
"16","Poa arctica"
"17","Hierochloe alpine"
"18","Pedicularis capitata"
"19","Arctagrostis latifolia"
"20","Pyrola grandiflora"
"21","Salix arctica"
"22","Lupinus arcticus"
"23","Polygonum viviparum"
"24","Pedicularis sudetica"
"25","Stellaria longipes"
"26","Pedicularis vertisilata"
"27","Cassiope tetragona"
"28","Eriophorum angustifolium"
"29","Oxytropis maydalliana"
"30","Oxytropis campestris"
"31","Oxytropis nigrescens"
"32","Astralagus umbelletus"
"33","Papaver radicatum"
"34","Parrya nudicalis"
"35","Alectoria ochroleuca"
"36","Cardamine digitalis"
"37","Lagostis glauca"
"38","Saxifraga nelsoniana"
"39","Alopecurus alpinus"
"40","Luzula arctica"
"41","Kobresia myotosoides"
"42","Kobresia sibirica"
"43","Cetraria nivalis"
"44","Cardamine bellidifolia"
"45","Poa alpina"
"46","Valeriana capitata"
"47","Pedicularis longsdorfi"
