"","c(unique(all_sites$Species))"
"1","Eriophorum vaginatum"
"2","Salix phlebophylla"
"3","Salix reticulata"
"4","Thamnolia subuliformis"
"5","Salix pulchra"
"6","Cetraria cucullata (Bellardi) Ach."
"7","Senecio atropurpureus"
"8","Cetraria islandica"
"9","Saussurea angustifolia"
"10","Cladina mitis (Sandst.) Hustich"
"11","Polygonum bistorta"
"12","Festuca baffinensis"
"13","Pedicularis lanata"
"14","Dryas integrifolia"
"15","Dactylina arctica"
"16","Poa arctica"
"17","Hierochloe alpina"
"18","Pedicularis capitata"
"19","Arctagrostis latifolia"
"20","Pyrola grandiflora"
"21","Salix arctica"
"22","Lupinus arcticus"
"23","Polygonum viviparum L."
"24","Pedicularis sudetica"
"25","Stellaria longipes"
"26","Pedicularis verticillata"
"27","Cassiope tetragona"
"28","Eriophorum angustifolium"
"29","Oxytropis maydelliana"
"30","Oxytropis campestris"
"31","Oxytropis nigrescens"
"32","Astragalus umbellatus"
"33","Papaver radicatum"
"34","Parrya nudicaulis."
"35","Alectoria ochroleuca"
"36","Cardamine hyperborea"
"37","Lagotis glauca"
"38","Saxifraga nelsoniana"
"39","Alopecurus alpinus Sm."
"40","Luzula arctica"
"41","Kobresia myosuroides"
"42","Kobresia sibirica"
"43","Cetraria nivalis"
"44","Cardamine bellidifolia"
"45","Poa alpina"
"46","Valeriana capitata"
"47","Pedicularis langsdorffii"
