"","c(unique(QHI_new_cover$Species))"
"1","ERIVAG"
"2","SALPHL"
"3","XXXlitter"
"4","SALRET"
"5","THASUB"
"6","XXXluzula"
"7","XXXothermoss"
"8","SALPUL"
"9","CETCUC"
"10","SENATR"
"11","CETISL"
"12","XXXotherlichen"
"13","XXXbareground"
"14","SAUANG"
"15","CLAMIT"
"16","POLBIS"
"17","XXXothergram"
"18","FESBAF"
"19","PEDLAN"
"20","DRYINT"
"21","DACARC"
"22","POAARC"
"23","HIEALP"
"24","PEDCAP"
"25","XXXotherherb"
"26","ARCLAT"
"27","XXXcladonia"
"28","XXXpeltigera"
"29","PYRGRA"
"30","XXXcarex"
"31","XXXcrustous"
"32","SALARC"
"33","LUPARC"
"34","POLVIV"
"35","PEDSUD"
"36","STELON"
"37","PEDVER"
"38","CASTET"
"39","XXXkobresia"
"40","ERIANG"
"41","XXXfeces"
"42","XXXfungus"
"43","XXXliverwort"
"44","OXYMAY"
"45","OXYCAM"
"46","OXYNIG"
"47","ASTUMB"
"48","XXXunkwoody"
"49","XXXotherforb"
"50","PAPRAD"
"51","XXXoxytropis"
"52","XXXcetraria"
"53","PARNUD"
"54","XXXotheraster"
"55","ALEOCH"
"56","CARDIG"
"57","LAGGLA"
"58","SAXNEL"
"59","XXXstandingwater"
"60","ALOALP"
"61","XXXotherfungus"
"62","XXXrock"
"63","XXXasteraceae"
"64","XXXped"
"65","Poa arctica"
"66","Lupinus arcticus"
"67","Dryas integrifolia"
"68","Luzula arctica"
"69","Cladina mitis"
"70","Senecio atropurpureus"
"71","Salix arctica"
"72","Oxytropis maydalliana"
"73","Festuca baffinensis"
"74","Oxytropis campestris"
"75","Polygonum bistorta"
"76","Astralagus umbelletus"
"77","Cardamine digitalis"
"78","Arctagrostis latifolia"
"79","Alopecurus alpinus"
"80","Salix reticulata"
"81","Cetraria cucculata"
"82","Thamnolia subuliformis"
"83","Polygonum viviparum"
"84","Oxytropis nigrescens"
"85","Parrya nudicalis"
"86","XXXspider"
"87","Pedicularis vertisilata"
"88","Saussurea angustifolia"
"89","Alectoria ochroleuca"
"90","Dactylina arctica"
"91","Cetraria islandica"
"92","Pedicularis capitata"
"93","Eriophorum vaginatum"
"94","Salix pulchra"
"95","Salix phlebophylla"
"96","Stellaria longipes"
"97","Kobresia myotosoides"
"98","Kobresia sibirica"
"99","Pyrola grandiflora"
"100","Saxifraga nelsoniana"
"101","Pedicularis lanata"
"102","CETNIV"
"103","CARBEL"
"104","LUZARC"
"105","POAALP"
"106","Lagostis glauca"
"107","Cassiope tetragona"
"108","Eriophorum angustifolium"
"109","Xxxspider"
"110","Valeriana capitata"
"111","Pedicularis sudetica"
"112","Poa ?"
"113","Hierochloe alpine"
"114","Cladina (brown)"
"115","Xxxmoss"
"116","Pedicularis longsdorfi"
"117","Cetraria spp that is brown"
"118","Cetraria spp"
"119","Luzula arctica "
"120","Hierochole alpine"
"121","Senecio astropurpureus"
"122","XXXunkgram"
"123","XXXunkOxytropis"
